Year,RaceNumber,RaceName,DriverNumber,Driver,Team,GridPosition,LapNumber,Compound,TyreLife,NumberPitStops_x,Tyres_change,TrackStatus,ResultStatus,QualyPosition,DriverStandings,PointsChampionship,Position,TimeLap,TimeDiffAhead,TimeDiffBehind,TimeDiffToLeader,TimePit,NumberPitStops_y,HasPitLap,DriverAhead,DriverBehind,DriverAheadPit,DriverBehindPit,GoodPitStop
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,26,SOFT,14,1,0,1,Finished,1,0,0,1,00:01:38.371000,0 days 00:00:00,0 days 00:00:03.911000,0 days 00:00:00,0,1,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,27,SOFT,15,1,0,1,Finished,1,0,0,1,00:01:38.785000,0 days 00:00:00,0 days 00:00:03.949000,0 days 00:00:00,0,1,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,28,SOFT,16,1,0,1,Finished,1,0,0,1,00:01:39.051000,0 days 00:00:00,0 days 00:00:03.680000,0 days 00:00:00,0,1,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,29,SOFT,17,1,0,1,Finished,1,0,0,1,00:01:38.887000,0 days 00:00:00,0 days 00:00:04.177000,0 days 00:00:00,0,1,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,30,SOFT,18,1,0,1,Finished,1,0,0,1,00:01:39.354000,0 days 00:00:00,0 days 00:00:06.360000,0 days 00:00:00,0,1,0,,VER,0,1,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,31,SOFT,19,1,0,1,Finished,1,0,0,1,00:01:41.545000,0 days 00:00:00,0 days 00:00:08.064000,0 days 00:00:00,24.527,2,1,,SAI,0,0,1
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,32,MEDIUM,1,2,0,1,Finished,1,0,0,3,00:01:56.325000,0 days 00:00:06.332000,0 days 00:00:02.256000,0 days 00:00:08.875000,0,2,0,PER,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,33,MEDIUM,2,2,1,1,Finished,1,0,0,3,00:01:36.674000,0 days 00:00:01.138000,0 days 00:00:01.929000,0 days 00:00:03.634000,0,2,0,PER,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,34,MEDIUM,3,2,1,1,Finished,1,0,0,1,00:01:36.399000,0 days 00:00:00,0 days 00:00:01.914000,0 days 00:00:00,0,2,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,35,MEDIUM,4,2,1,1,Finished,1,0,0,1,00:01:36.501000,0 days 00:00:00,0 days 00:00:02.144000,0 days 00:00:00,0,2,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,36,MEDIUM,5,2,1,1,Finished,1,0,0,1,00:01:36.561000,0 days 00:00:00,0 days 00:00:02.503000,0 days 00:00:00,0,2,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,37,MEDIUM,6,2,1,1,Finished,1,0,0,1,00:01:36.663000,0 days 00:00:00,0 days 00:00:02.802000,0 days 00:00:00,0,2,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,38,MEDIUM,7,2,1,1,Finished,1,0,0,1,00:01:36.623000,0 days 00:00:00,0 days 00:00:03.077000,0 days 00:00:00,0,2,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,39,MEDIUM,8,2,1,1,Finished,1,0,0,1,00:01:36.939000,0 days 00:00:00,0 days 00:00:03.393000,0 days 00:00:00,0,2,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,40,MEDIUM,9,2,1,1,Finished,1,0,0,1,00:01:36.807000,0 days 00:00:00,0 days 00:00:03.894000,0 days 00:00:00,0,2,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,41,MEDIUM,10,2,1,1,Finished,1,0,0,1,00:01:37.044000,0 days 00:00:00,0 days 00:00:04.134000,0 days 00:00:00,0,2,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,42,MEDIUM,11,2,1,1,Finished,1,0,0,1,00:01:37.040000,0 days 00:00:00,0 days 00:00:04.949000,0 days 00:00:00,0,2,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,43,MEDIUM,12,2,1,1,Finished,1,0,0,1,00:01:37.346000,0 days 00:00:00,0 days 00:00:07.390000,0 days 00:00:00,0,2,0,,VER,0,1,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,44,MEDIUM,13,2,1,1,Finished,1,0,0,1,00:01:37.509000,0 days 00:00:00,0 days 00:00:20.308000,0 days 00:00:00,0,2,0,,SAI,0,1,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,45,MEDIUM,14,2,1,1,Finished,1,0,0,1,00:01:37.413000,0 days 00:00:00,0 days 00:00:25.457000,0 days 00:00:00,0,2,0,,VER,0,1,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,46,MEDIUM,15,2,1,64,Finished,1,0,0,1,00:02:05.151000,0 days 00:00:00,0 days 00:00:30.247000,0 days 00:00:00,24.613,3,1,,VER,0,0,1
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,47,SOFT,4,3,1,4,Finished,1,0,0,1,00:02:43.846000,0 days 00:00:00,0 days 00:00:01.183000,0 days 00:00:00,0,3,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,48,SOFT,5,3,1,4,Finished,1,0,0,1,00:02:31.364000,0 days 00:00:00,0 days 00:00:01.583000,0 days 00:00:00,0,3,0,,VER,0,0,0
