Year	RaceNumber	RaceName	DriverNumber	Driver	Team	GridPosition	LapNumber	Compound	TyreLife	TyresChange	TrackStatus	ResultStatus	QualyPosition	DriverStandings	Position	TimeLap	TimeDiffAhead	TimeDiffBehind	TimeDiffToLeader	TimePit	NumberPitStops	HasPitLap	DriverAhead	DriverBehind	DriverAheadPit	DriverBehindPit	GoodPitStop
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	1	SOFT	4.0	0	1	Finished	1	0	1	00:01:11.454000	0 days 00:00:00	0 days 00:00:02.047000	0 days 00:00:00	0	0	0		VER	0	0	0
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	2	SOFT	5.0	0	1	Finished	1	0	1	00:01:09.441000	0 days 00:00:00	0 days 00:00:02.465000	0 days 00:00:00	0	0	0		VER	0	0	0
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	3	SOFT	6.0	0	1	Finished	1	0	1	00:01:09.598000	0 days 00:00:00	0 days 00:00:02.247000	0 days 00:00:00	0	0	0		VER	0	0	0
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	4	SOFT	7.0	0	1	Finished	1	0	1	00:01:09.592000	0 days 00:00:00	0 days 00:00:02.083000	0 days 00:00:00	0	0	0		VER	0	0	0
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	5	SOFT	8.0	0	1	Finished	1	0	1	00:01:09.159000	0 days 00:00:00	0 days 00:00:02.275000	0 days 00:00:00	0	0	0		VER	0	0	0
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	6	SOFT	9.0	0	1	Finished	1	0	1	00:01:09.386000	0 days 00:00:00	0 days 00:00:02.358000	0 days 00:00:00	0	0	0		VER	0	0	0
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	7	SOFT	10.0	0	1	Finished	1	0	1	00:01:09.051000	0 days 00:00:00	0 days 00:00:02.884000	0 days 00:00:00	0	0	0		VER	0	0	0
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	8	SOFT	11.0	0	1	Finished	1	0	1	00:01:09.185000	0 days 00:00:00	0 days 00:00:03.237000	0 days 00:00:00	0	0	0		VER	0	0	0
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	9	SOFT	12.0	0	1	Finished	1	0	1	00:01:09.357000	0 days 00:00:00	0 days 00:00:03.339000	0 days 00:00:00	0	0	0		VER	0	0	0
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	10	SOFT	13.0	0	1	Finished	1	0	1	00:01:09.457000	0 days 00:00:00	0 days 00:00:03.333000	0 days 00:00:00	0	0	0		VER	0	0	0
2020	1	Austrian Grand Prix	77	BOT	Mercedes	1	11	SOFT	14.0	0	1	Finished	1	0	1	00:01:09.407000	0 days 00:00:00	0 days 00:00:07.855000	0 days 00:00:00	0	0	0		HAM	0	0	0
